Name;Gender;Hair color;Bald;Eye color;Facial Hair;Glasses;Hat;Nose size
George;Male;White;No;Brown;No;No;Yes;Large
Alfred;Male;Orange;No;Blue;Yes;No;No;Large
Tom;Male;Bald;Yes;Blue;No;Yes;No;Large
Maria;Female;Brown;No;Brown;No;No;Yes;Small
Susan;Female;Blonde;No;Brown;No;No;No;Small
Joe;Male;Blonde;No;Brown;No;Yes;No;Large
Anita;Female;White;No;Blue;No;No;No;Small
Charles;Male;Blonde;No;Brown;Yes;No;No;Large
David;Male;Blonde;No;Brown;Yes;No;No;Large
Richard;Male;Brown;Yes;Brown;Yes;No;No;Large
Alex;Male;Black;No;Brown;Yes;No;No;Small
Bill;Male;Orange;Yes;Brown;Yes;No;No;Large
Sam;Male;White;Yes;Brown;No;Yes;No;Large
Anne;Female;Black;No;Brown;No;No;No;Medium
Frans;Male;Orange;No;Brown;No;No;No;Large
Bernard;Male;Brown;No;Brown;No;No;Yes;Large
Paul;Male;White;No;Brown;No;Yes;No;Large
Philip;Male;Black;No;Brown;Yes;No;No;Large
Herman;Male;Orange;Yes;Brown;No;No;No;Large
Peter;Male;White;No;Blue;No;No;No;Large
Claire;Female;Orange;No;Brown;No;Yes;Yes;Small
Eric;Male;Blonde;No;Brown;No;No;Yes;Large
Robert;Male;Brown;No;Blue;No;No;No;Large
Max;Male;Black;No;Brown;Yes;No;No;Large
